"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.717190914E2,6.166971416E1,2.359743301E1,1.199474091E2,1.533864412E0,3.558586426E2,4.748651275E0,7.099540158E0
1.727190843E2,6.166973024E1,2.359743056E1,1.196558385E2,1.561838807E0,3.558586426E2,4.748651306E0,7.182487147E0
1.737190779E2,6.166974626E1,2.359742812E1,1.195606683E2,1.565168570E0,3.558586426E2,4.748651293E0,7.373864645E0
1.747190710E2,6.166976133E1,2.359742582E1,1.195665156E2,1.562735561E0,3.558586426E2,4.748651300E0,7.446561412E0
1.757190648E2,6.166977694E1,2.359742284E1,1.195275981E2,1.579019299E0,3.553463440E2,4.748651308E0,7.334051015E0
1.767190576E2,6.166979228E1,2.359742022E1,1.197360647E2,1.574274988E0,3.553463440E2,4.748651312E0,7.282049834E0
1.777190524E2,6.166980753E1,2.359741760E1,1.199866661E2,1.576661852E0,3.553463440E2,4.748651334E0,7.055597535E0
1.787190465E2,6.166982179E1,2.359741516E1,1.196405780E2,1.572242284E0,3.553463440E2,4.748651334E0,7.109676632E0
1.797190417E2,6.166983578E1,2.359741277E1,1.197993209E2,1.575108895E0,3.553463440E2,4.748651337E0,7.093836341E0
1.807190366E2,6.166985102E1,2.359741016E1,1.199011053E2,1.591126015E0,3.553463440E2,4.748651347E0,7.170572505E0
1.817190320E2,6.166986586E1,2.359740761E1,1.200031735E2,1.588035493E0,3.553463440E2,4.748651331E0,6.980993700E0
1.827190267E2,6.166988059E1,2.359740509E1,1.200877791E2,1.588864979E0,3.553463440E2,4.748651325E0,6.951434964E0
1.837190229E2,6.166989512E1,2.359740286E1,1.200863750E2,1.603162336E0,0.000000000E0,4.748651271E0,7.006768460E0
1.847190181E2,6.166991531E1,2.359740286E1,1.202126878E2,1.644317431E0,0.000000000E0,4.748651288E0,6.884943462E0
1.857190142E2,6.166993729E1,2.359740286E1,1.199710131E2,1.728811793E0,0.000000000E0,4.748651333E0,6.826989931E0
