"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.027925833E0,-1.298322342E0,5.538520673E-1,-2.053816956E-1
1.037896833E0,-1.133782132E0,6.936817977E-1,-3.783481818E-1
1.047868833E0,-9.674392252E-1,8.976376498E-1,-5.915774256E-1
1.057839833E0,-8.018307289E-1,1.058384625E0,-9.333080041E-1
1.067810833E0,-6.707355693E-1,1.201460145E0,-1.273944569E0
1.077782833E0,-6.002253114E-1,1.353451791E0,-1.441688907E0
1.087753833E0,-5.958784913E-1,1.263901683E0,-1.404683048E0
1.097725833E0,-6.166190037E-1,1.024833009E0,-1.258917224E0
1.107696833E0,-6.347592594E-1,9.242576838E-1,-1.042383134E0
1.117668833E0,-6.744010426E-1,8.897047323E-1,-7.809973919E-1
1.127639833E0,-6.712862308E-1,8.451811087E-1,-5.856384087E-1
1.137610833E0,-5.665657414E-1,7.281406090E-1,-5.400552696E-1
1.147582833E0,-4.961113974E-1,6.891335410E-1,-6.432872772E-1
1.157553833E0,-4.995760189E-1,8.373546106E-1,-7.393219471E-1
1.167525833E0,-4.685840218E-1,1.010490081E0,-8.047464430E-1
1.177496792E0,-4.588835641E-1,9.939623415E-1,-9.760154825E-1
1.187468792E0,-4.976396403E-1,9.540971947E-1,-1.194763328E0
1.197439792E0,-5.268275522E-1,1.071981448E0,-1.382750727E0
1.207411792E0,-5.660433657E-1,1.279076670E0,-1.381752607E0
1.217382792E0,-5.064640389E-1,1.315323852E0,-1.238228606E0
1.227353792E0,-4.794333111E-1,1.097111319E0,-1.163553815E0
1.237325792E0,-6.076081520E-1,8.593249387E-1,-1.212301467E0
1.247296792E0,-8.517954060E-1,8.622131708E-1,-1.209876627E0
1.257268792E0,-1.060019433E0,9.081398338E-1,-1.114612035E0
1.267239792E0,-1.141746551E0,9.475225854E-1,-8.758871770E-1
1.277211792E0,-1.074240812E0,9.401977783E-1,-6.281792414E-1
1.287182792E0,-9.502374476E-1,1.016376766E0,-5.129604417E-1
1.297153792E0,-8.656154463E-1,1.221222272E0,-4.864415646E-1
1.307125792E0,-8.424152295E-1,1.435372744E0,-3.904899251E-1
1.317096792E0,-7.911341250E-1,1.586779085E0,-2.826941657E-1
1.327068792E0,-6.670062882E-1,1.566571107E0,-3.098047811E-1
1.337039792E0,-5.164344553E-1,1.479229785E0,-3.629553866E-1
1.347011792E0,-3.902285546E-1,1.335157607E0,-5.014484435E-1
1.356982792E0,-3.044312264E-1,1.153113027E0,-8.282697916E-1
1.366953792E0,-4.616554732E-1,1.145998719E0,-1.011456626E0
1.376925792E0,-7.726712492E-1,1.299333179E0,-9.260790914E-1
1.386896792E0,-9.051714948E-1,1.475020667E0,-5.814459550E-1
1.396868792E0,-7.588993022E-1,1.571054167E0,-9.811569393E-2
1.406839792E0,-5.715988784E-1,1.639210483E0,3.263980097E-1
1.416811792E0,-3.539404419E-1,1.803426611E0,5.894613183E-1
1.426782792E0,-3.305517803E-3,1.917475675E0,7.729212177E-1
1.436753792E0,4.213346090E-1,1.874818482E0,1.029340920E0
1.446725792E0,7.906399622E-1,1.693472059E0,1.211887484E0
1.456696792E0,1.053893232E0,1.482539894E0,1.370331826E0
1.466668792E0,1.076344786E0,1.357222076E0,1.643817211E0
1.476639792E0,7.494401152E-1,1.175793207E0,2.009061198E0
1.486611792E0,2.477945292E-1,1.046511853E0,2.422526003E0
1.496582792E0,-1.078870125E-1,9.920204812E-1,2.879481229E0
1.506553792E0,-2.145098936E-1,9.244605821E-1,3.394270095E0
1.516525792E0,-1.516989569E-1,8.838700882E-1,3.924977421E0
1.526496792E0,-9.919147197E-2,8.857163465E-1,4.332743529E0
1.536468792E0,-1.081669845E-1,8.049867636E-1,4.564916582E0
1.546439792E0,-8.668263316E-2,6.452165660E-1,4.652453493E0
1.556411792E0,-1.706710886E-2,4.852838159E-1,4.549023265E0
1.566382792E0,9.254117779E-2,3.519059032E-1,4.310796590E0
1.576353792E0,3.029777183E-1,1.377680022E-1,3.901229539E0
1.586325792E0,5.613905901E-1,-1.056173792E-1,3.338809839E0
1.596296792E0,8.042412436E-1,-1.620280999E-1,2.645913615E0
1.606268792E0,1.019823919E0,-1.218553895E-1,1.910840839E0
1.616239792E0,1.215423807E0,-1.180675632E-1,1.260469660E0
1.626211792E0,1.516666145E0,-1.526295778E-1,6.418167025E-1
1.636182792E0,1.748878520E0,-2.265848690E-1,1.117823911E-1
1.646153792E0,1.884062638E0,-2.675010529E-1,-3.169676203E-1
1.656125792E0,2.041541750E0,-2.022624984E-1,-6.665475011E-1
1.666096792E0,2.171677236E0,-1.185546362E-1,-8.659176743E-1
1.676068792E0,2.227527355E0,-1.047707024E-1,-1.010446227E0
